         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
            test	              10	              23	     Morgan2Feat	        Tanimoto	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	     Morgan2Feat	        Tanimoto	0.41847826086956524	0.5163043478260869	0.6141304347826086	0.7119565217391305	0.8369565217391305	0.9239130434782609
            test	               8	              82	     Morgan2Feat	        Tanimoto	0.8658536585365854	0.975609756097561	0.975609756097561	0.9878048780487805	0.9878048780487805	0.9878048780487805
            test	               7	             462	     Morgan2Feat	        Tanimoto	0.577922077922078	0.7489177489177489	0.8333333333333334	0.8831168831168831	0.9199134199134199	0.922077922077922
            test	               6	             824	     Morgan2Feat	        Tanimoto	0.508495145631068	0.8240291262135923	0.9016990291262136	0.9563106796116505	0.9672330097087378	0.9672330097087378
            test	               5	              68	     Morgan2Feat	        Tanimoto	0.8382352941176471	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	     Morgan2Feat	        Tanimoto	0.5164835164835165	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703
            test	               3	             567	     Morgan2Feat	        Tanimoto	0.37037037037037035	0.5485008818342152	0.6243386243386243	0.7442680776014109	0.8324514991181657	0.8677248677248677
            test	               2	            1190	     Morgan2Feat	        Tanimoto	0.6016806722689075	0.8352941176470589	0.9016806722689076	0.9428571428571428	0.9470588235294117	0.9470588235294117
            test	               1	            1516	     Morgan2Feat	        Tanimoto	0.46437994722955145	0.6635883905013192	0.7618733509234829	0.8614775725593667	0.9155672823218998	0.9228232189973615
            test	             all	            5007	     Morgan2Feat	        Tanimoto	0.36249251048532055	0.5378470141801478	0.6249251048532055	0.7367685240663072	0.8176552826043539	0.8518074695426403
            test	              10	              23	   Morgan2noFeat	        Tanimoto	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	   Morgan2noFeat	        Tanimoto	0.44565217391304346	0.5597826086956522	0.5978260869565217	0.7336956521739131	0.8641304347826086	0.9184782608695652
            test	               8	              82	   Morgan2noFeat	        Tanimoto	0.8170731707317073	0.9512195121951219	0.975609756097561	0.9878048780487805	0.9878048780487805	0.9878048780487805
            test	               7	             462	   Morgan2noFeat	        Tanimoto	0.551948051948052	0.7445887445887446	0.8203463203463204	0.8939393939393939	0.9177489177489178	0.9242424242424242
            test	               6	             824	   Morgan2noFeat	        Tanimoto	0.5072815533980582	0.7997572815533981	0.9004854368932039	0.9478155339805825	0.9599514563106796	0.9599514563106796
            test	               5	              68	   Morgan2noFeat	        Tanimoto	0.8823529411764706	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	   Morgan2noFeat	        Tanimoto	0.4835164835164835	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703
            test	               3	             567	   Morgan2noFeat	        Tanimoto	0.400352733686067	0.5608465608465608	0.6225749559082893	0.7513227513227513	0.8395061728395061	0.8624338624338624
            test	               2	            1190	   Morgan2noFeat	        Tanimoto	0.6100840336134454	0.8428571428571429	0.9025210084033614	0.946218487394958	0.9554621848739496	0.9563025210084034
            test	               1	            1516	   Morgan2noFeat	        Tanimoto	0.4821899736147757	0.6840369393139841	0.7770448548812665	0.8700527704485488	0.9188654353562006	0.9267810026385225
            test	             all	            5007	   Morgan2noFeat	        Tanimoto	0.36548831635710005	0.5526263231475934	0.6385060914719393	0.7475534252047134	0.8270421410025963	0.8556021569802277
            test	              10	              23	   Morgan2noFeat	            Dice	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695	0.9130434782608695
            test	               9	             184	   Morgan2noFeat	            Dice	0.44565217391304346	0.5597826086956522	0.6086956521739131	0.7336956521739131	0.8641304347826086	0.9184782608695652
            test	               8	              82	   Morgan2noFeat	            Dice	0.8292682926829268	0.9512195121951219	0.975609756097561	0.9878048780487805	0.9878048780487805	0.9878048780487805
            test	               7	             462	   Morgan2noFeat	            Dice	0.551948051948052	0.7445887445887446	0.8203463203463204	0.8939393939393939	0.9177489177489178	0.9242424242424242
            test	               6	             824	   Morgan2noFeat	            Dice	0.508495145631068	0.7985436893203883	0.9016990291262136	0.9478155339805825	0.9599514563106796	0.9599514563106796
            test	               5	              68	   Morgan2noFeat	            Dice	0.8823529411764706	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176	0.9705882352941176
            test	               4	              91	   Morgan2noFeat	            Dice	0.4835164835164835	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703	0.6703296703296703
            test	               3	             567	   Morgan2noFeat	            Dice	0.4021164021164021	0.5608465608465608	0.6225749559082893	0.7513227513227513	0.8412698412698413	0.8624338624338624
